Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,3.067143,3.251429,3.041429,3.241071,2.782837,746015200
2009-01-05,3.327500,3.435000,3.311071,3.377857,2.900283,1181608400
2009-01-06,3.426786,3.470357,3.299643,3.322143,2.852447,1289310400
2009-01-07,3.278929,3.303571,3.223571,3.250357,2.790810,753048800
2009-01-08,3.229643,3.326786,3.215714,3.310714,2.842633,673500800
2009-01-09,3.328929,3.335000,3.219286,3.235000,2.777624,546845600
2009-01-12,3.230714,3.249643,3.126786,3.166429,2.718747,617716400
2009-01-13,3.151429,3.205000,3.083929,3.132500,2.689616,798397600
2009-01-14,3.080000,3.116071,3.025714,3.047500,2.616633,1021664000
2009-01-15,2.877500,3.004286,2.858929,2.977857,2.556838,1831634000
2009-01-16,3.010714,3.013571,2.871429,2.940357,2.524638,1047625600
2009-01-20,2.926071,2.928571,2.792857,2.792857,2.397992,919914800
2009-01-21,2.835357,2.960000,2.832500,2.958214,2.539971,1089270000
2009-01-22,3.144286,3.214286,3.065000,3.155714,2.709548,1409528400
2009-01-23,3.100714,3.209643,3.089286,3.155714,2.709548,763770000
2009-01-26,3.173571,3.248929,3.153571,3.201429,2.748799,692238400
2009-01-27,3.221071,3.269643,3.205000,3.240357,2.782223,618038400
2009-01-28,3.290000,3.392857,3.267857,3.364286,2.888632,861406000
2009-01-29,3.324643,3.369286,3.307143,3.321429,2.851834,592729200
2009-01-30,3.307143,3.343571,3.214643,3.218929,2.763825,651478800
2009-02-02,3.182143,3.285714,3.175000,3.268214,2.806142,558247200
2009-02-03,3.282857,3.335000,3.224286,3.320714,2.851219,599309200
2009-02-04,3.329286,3.437500,3.325000,3.341071,2.868698,808421600
2009-02-05,3.313214,3.473214,3.307857,3.445000,2.957934,749246400
2009-02-06,3.465000,3.571429,3.464286,3.561429,3.057901,687209600
2009-02-09,3.571429,3.678571,3.553571,3.661071,3.143456,715010800
2009-02-10,3.618929,3.661071,3.466429,3.493929,2.999945,849060800
2009-02-11,3.441786,3.511071,3.420357,3.457857,2.968973,674973600
